userId,movieId,rating,timestamp
1,112792,2.5,1260759144
1,33563,3.0,1260759179
1,117665,3.0,1260759182
1,82340,2.0,1260759185
1,95765,4.0,1260759205
1,77416,2.0,1260759151
1,52618,2.0,1260759187
1,83987,2.0,1260759148
1,103874,3.5,1260759125
1,101540,2.0,1260759131
1,79945,2.5,1260759135
1,115641,1.0,1260759203
1,67116,4.0,1260759191
1,84827,4.0,1260759139
1,80801,3.0,1260759194
1,96446,2.0,1260759198
1,120587,2.0,1260759108
1,91064,2.5,1260759113
1,81633,1.0,1260759200
1,71230,3.0,1260759117
2,113189,4.0,835355493
2,114388,5.0,835355681
2,112697,5.0,835355604
2,114369,4.0,835355552
2,114814,4.0,835355586
2,113819,3.0,835356031
2,113862,3.0,835355749
2,112573,4.0,835355532
2,112585,3.0,835356016
2,112384,5.0,835355395
2,112462,4.0,835355441
2,112740,3.0,835355493
2,112864,3.0,835355441
2,113071,3.0,835355710
2,113957,3.0,835355511
2,113986,3.0,835355664
2,114898,3.0,835355511
2,112679,5.0,835355840
2,109445,1.0,835355749
2,109635,3.0,835355552
2,109707,3.0,835355664
2,110066,3.0,835355896
2,110148,4.0,835355511
2,110367,4.0,835355681
2,103994,5.0,835355697
2,110322,5.0,835355586
2,110428,3.0,835355767
2,109836,4.0,835355779
2,114069,3.0,835355492
2,110912,4.0,835355395
2,110932,3.0,835355532
2,111112,4.0,835356044
2,111070,2.0,835355551
2,111149,1.0,835355918
2,114924,3.0,835355492
2,109444,4.0,835355441
2,109446,4.0,835355697
2,109830,3.0,835355628
2,109831,3.0,835355749
2,110357,3.0,835355604
2,110475,3.0,835355619
2,110622,2.0,835355932
2,110771,3.0,835355968
2,110950,3.0,835356094
2,111257,3.0,835355710
2,111742,3.0,835356165
2,110027,2.0,835356246
2,106220,3.0,835355532
2,106918,4.0,835355604
2,106977,3.0,835355511
2,112966,4.0,835355790
2,107206,2.0,835355828
2,107290,4.0,835355643
2,107362,3.0,835355918
2,107616,3.0,835355880
2,107614,4.0,835355731
2,107818,4.0,835355860
2,107822,4.0,835355719
2,107943,4.0,835355817
2,108052,4.0,835355731
2,111201,4.0,835356199
2,108160,3.0,835355767
2,111418,3.0,835356109
2,107688,5.0,835355767
2,108333,3.0,835355860
2,112572,5.0,835355817
2,99785,3.0,835355790
2,99653,3.0,835355779
2,103639,3.0,835355441
2,103064,5.0,835355697
2,99348,5.0,835355395
2,96895,5.0,835355395
2,102926,3.0,835355511
2,65421,3.0,835355932
2,116683,4.0,835356141
2,118114,4.0,835355978
3,113419,3.0,1298861675
3,112573,4.0,1298922049
3,110005,3.5,1298861637
3,110443,3.0,1298861761
3,110912,4.5,1298862418
3,111161,5.0,1298862121
3,109813,2.5,1298861589
3,109830,5.0,1298862167
3,111257,2.5,1298923242
3,108052,3.0,1298862528
3,103639,3.0,1298922100
3,96895,3.0,1298923247
3,102926,3.0,1298921840
3,101414,2.0,1298923260
3,117998,3.5,1298932787
3,117951,4.0,1298863157
3,115736,3.0,1298861687
3,93779,5.0,1298932770
3,86190,3.0,1298921795
3,67185,4.0,1298861628
3,101921,3.0,1298861605
3,96487,4.0,1298861658
3,119654,3.5,1298922089
3,120338,4.5,1298923236
3,120669,4.0,1298863143
3,120815,4.0,1298921862
3,147612,4.0,1298861753
3,98084,3.0,1298861789
3,142342,3.0,1298862710
3,162677,3.5,1298861796
3,87332,3.0,1298924017
3,167404,3.5,1298922057
3,164181,4.0,1298861733
3,169547,4.0,1298921825
3,137523,5.0,1298862874
3,104187,3.0,1298861968
3,186151,4.0,1298861633
3,180093,5.0,1298863174
3,145487,3.0,1298923266
3,310793,3.5,1298862672
3,266543,3.0,1298922080
3,167260,2.5,1298921787
3,338013,3.0,1298922065
3,361596,3.5,1298861650
3,316654,3.0,1298932766
3,250440,3.5,1298862555
